TransactionID,DateKey,AccountKey,DepartmentKey,CostCenterKey,EntityKey,TransactionType,Amount,BudgetAmount,Description,FiscalYear,FiscalQuarter
TXN-00001,20240101,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,125000.00,120000.00,Product Sales - Q1,2024,Q1
TXN-00002,20240101,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,45000.00,40000.00,Service Revenue - Jan,2024,Q1
TXN-00003,20240102,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,18500.00,20000.00,Salaries & Wages,2024,Q1
TXN-00004,20240102,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,3200.00,3500.00,Office Supplies,2024,Q1
TXN-00005,20240103,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,9800.00,10000.00,Marketing Campaigns,2024,Q1
TXN-00006,20240105,ACC-1001,DEPT-01,CC-101,ENT-002,Revenue,98000.00,95000.00,Product Sales - West,2024,Q1
TXN-00007,20240105,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,22000.00,25000.00,IT Infrastructure,2024,Q1
TXN-00008,20240108,ACC-1003,DEPT-01,CC-102,ENT-001,Revenue,67500.00,65000.00,Consulting Fees,2024,Q1
TXN-00009,20240110,ACC-2001,DEPT-02,CC-202,ENT-002,Expense,21000.00,22000.00,Salaries & Wages - West,2024,Q1
TXN-00010,20240112,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,5500.00,5000.00,Travel & Entertainment,2024,Q1
TXN-00011,20240115,ACC-1004,DEPT-01,CC-101,ENT-001,Revenue,210000.00,200000.00,Enterprise License Deal,2024,Q1
TXN-00012,20240115,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q1
TXN-00013,20240118,ACC-2003,DEPT-03,CC-302,ENT-002,Expense,12000.00,12500.00,Digital Advertising,2024,Q1
TXN-00014,20240120,ACC-1002,DEPT-01,CC-102,ENT-001,Revenue,38000.00,35000.00,Support Contracts,2024,Q1
TXN-00015,20240122,ACC-2006,DEPT-04,CC-402,ENT-001,Expense,8700.00,9000.00,Software Licenses,2024,Q1
TXN-00016,20240125,ACC-1001,DEPT-01,CC-101,ENT-003,Revenue,145000.00,140000.00,Product Sales - East,2024,Q1
TXN-00017,20240128,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,2800.00,3000.00,Office Rent,2024,Q1
TXN-00018,20240130,ACC-2007,DEPT-05,CC-501,ENT-001,Expense,4200.00,4500.00,Professional Services,2024,Q1
TXN-00019,20240201,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,132000.00,130000.00,Product Sales - Feb,2024,Q1
